F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
-187500,-187500,-187500,-37878.23,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20250,
-187500,-187500,-187500,-37635.06,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20251,
-187500,-187500,-187500,-37716.42,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20252,
-187500,-187500,-187500,-37916.63,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20253,
-187500,-187500,-187500,-38989.8,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20254,
-187500,-187500,-187500,-40277.04,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20255,
-187500,-187500,-187500,-41118.8,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20256,
-187500,-187500,-187500,-42630.79,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20257,
-187500,-187500,-187500,-44154.24,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20258,
-187500,-187500,-187500,-45253.77,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20259,
-187500,-187500,-187500,-46159.53,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20260,
-187500,-187500,-187500,-46435.79,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20261,
-187500,-187500,-187500,-46153.96,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20262,
-187500,-187500,-187500,-45538.39,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20263,
-187500,-187500,-187500,-45405.71,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20264,
-187500,-187500,-187500,-44381.82,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20265,
-187500,-187500,-187500,-43301.07,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20266,
-187500,-187500,-187500,-41739.87,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20267,
-187500,-187500,-187500,-40202.72,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20268,
-187500,-187500,-187500,-39070.27,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20269,
-187500,-187500,-187500,-38139.92,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20270,
-187500,-187500,-187500,-37846.13,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20271,
-187500,-187500,-187500,-37914.77,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20272,
-187500,-187500,-187500,-38082.23,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20273,
-187500,-187500,-187500,-39096.57,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20274,
-187500,-187500,-187500,-40384.44,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20275,
-187500,-187500,-187500,-41216.08,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20276,
-187500,-187500,-187500,-42635.1,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20277,
-187500,-187500,-187500,-44190,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20278,
-187500,-187500,-187500,-45318.21,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20279,
-187500,-187500,-187500,-46251.88,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20280,
-187500,-187500,-187500,-46565.12,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20281,
-187500,-187500,-187500,-46311.9,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20282,
-187500,-187500,-187500,-45695.82,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20283,
-187500,-187500,-187500,-45540.07,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20284,
-187500,-187500,-187500,-44574.81,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20285,
-187500,-187500,-187500,-43469.89,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20286,
-187500,-187500,-187500,-41967.7,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20287,
-187500,-187500,-187500,-40385,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20288,
-187500,-187500,-187500,-39225.05,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20289,
